id,name,artists,id_artists,genres,release_year,duration_s,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1pgSJ8yNeLCqyrCeix7caQ,Seni Öptüğüm Sokak,"Tuğçe Kandemir, Eypio","['50z4meqYMvVCXEv2jDneDN', '6h5P3J0j1x2lhiDk9w4deZ']",turkish pop turkish trap pop turkish hip hop turkish trap pop,2021,185.0,72,0.678,0.54,6,52.724,0,0.054,0.58,0.0,0.102,0.365,123.882
2BstRQGodshjGpeDGQiNgo,Do It Again,Steely Dan,['6P7H3ai06vU1sGvdpBwDmE'],album rock art rock classic rock country rock folk folk rock mellow gold psychedelic rock rock roots rock soft rock yacht rock,1972,356.733,72,0.682,0.537,2,49.746,0,0.0323,0.218,3.07e-05,0.0556,0.963,124.574
0cKk8BKEi7zXbdrYdyqBP5,Behind Blue Eyes,The Who,['67ea9eGLXYMsO2eYQRui3w'],album rock art rock blues rock british invasion classic rock folk rock hard rock mellow gold rock roots rock,1971,221.427,72,0.394,0.622,4,51.742,0,0.0336,0.213,4.45e-05,0.0892,0.342,126.844
3ZE3wv8V3w2T2f7nOCjV0N,Life on Mars? - 2015 Remaster,David Bowie,['0oSGxfWSnnOXhD2fKuz2Gy'],art rock classic rock glam rock permanent wave rock,1971,235.987,72,0.442,0.384,10,45.365,1,0.0414,0.639,7.7e-05,0.0539,0.216,123.281
52dm9op3rbfAkc1LGXgipW,Wild Horses - 2009 Mix,The Rolling Stones,['22bE4uQ6baNwSHPVcDxLCe'],british invasion classic rock rock,1971,341.773,72,0.432,0.389,7,53.483,1,0.0255,0.687,0.0107,0.0788,0.158,139.506
3Um9toULmYFGCpvaIPFw7l,What's Going On,Marvin Gaye,['3koiLjNrgRTNbOwViDipeA'],classic soul funk indie rb motown northern soul quiet storm soul,1971,233.0,72,0.283,0.716,1,50.368,0,0.0986,0.447,0.0,0.399,0.828,201.96
6VRhkROS2SZHGlp0pxndbJ,Bangarang (feat. Sirah),"Skrillex, Sirah","['5he5w2lnU9x7JFhnwcekXX', '3oAazIwC0nAYkOKVQPUC38']", brostep complextro edm electro pop dance,2011,215.253,72,0.716,0.972,7,57.698,1,0.196,0.0145,3.22e-05,0.317,0.576,110.026
0Cvjlph1WGbwZY1PlMEtJY,Come Away With Me,Norah Jones,['2Kx7MNY7cI1ENniW7vT30N'],adult standards contemporary vocal jazz jazz pop neo mellow vocal jazz,2002,198.147,72,0.363,0.129,0,45.696,1,0.0322,0.904,1.52e-06,0.157,0.147,80.367
3CpoeW0cZSDzIRv5z34F87,Sing For The Moment,Eminem,['7dGJo4pcD2V6oG8kP0tJRR'],detroit hip hop hip hop rap,2002,339.547,72,0.668,0.824,5,55.836,0,0.137,0.0017,3.05e-06,0.0426,0.185,163.961
11kDth1aKUEUMq9r1pqyds,5% TINT,Travis Scott,['0Y5tJX1MQlPlqiwlOH1tJY'],rap slap house,2018,196.138,72,0.712,0.481,4,54.585,0,0.0487,0.173,0.0,0.241,0.062,140.0
5U28PY9MekLyCBYtLHGQpe,Meu Abrigo,Melim,['6uYrXgVHctAJtIdSODcyLJ'],mpb nova mpb pop nacional,2018,231.474,72,0.658,0.572,3,52.473,1,0.0304,0.214,0.0,0.125,0.741,92.011
1e4rwBPVI32vZtTJu7mJ4J,Chun-Li,Nicki Minaj,['0hCNtLu0JehylgoiP8L4Gh'],dance pop hip pop pop pop rap postteen pop queens hip hop,2018,191.6,72,0.686,0.73,6,54.923,0,0.374,0.278,4.76e-05,0.106,0.474,128.943
2bSk87AVkCIIC3Bcligq1z,Life Goes On,"Lil Baby, Gunna, Lil Uzi Vert","['5f7VJjfbwm532GiveGC0ZK', '2hlmm7s2ICUX0LVIhVFlZQ', '4O15NlyKLIASxsJ0PrXPfz']",melodic rap philly rap rap trap atl hip hop atl trap rap trap atl hip hop melodic rap rap trap,2018,247.055,72,0.716,0.541,1,52.091,1,0.149,0.0021,0.0,0.115,0.387,139.978
6tZ3b7ik1QDXFAZlXib0YZ,Kevin’s Heart,J. Cole,['6l3HvQ5sa6mXTsMTB19rO5'],conscious hip hop hip hop north carolina hip hop rap,2018,200.31,72,0.829,0.527,6,53.356,0,0.367,0.482,0.0,0.631,0.475,116.079
755inykyaG4w22GWAsA3MX,Marlboro Nights,Lonely God,['6pF6MN603wSrisJcf7HS5v'],modern indie pop,2018,68.523,72,0.466,0.823,2,53.365,1,0.311,0.00237,0.000321,0.332,0.782,175.797
1AqemxWsT0iGg5Lvkm16Bt,Fukk Sleep (feat. FKA twigs),"A$AP Rocky, FKA twigs","['13ubrt8QOOCPljQ2FL1Kca', '6nB0iY1cjSY1KyhYyuIIKH']",east coast hip hop hip hop rap trap afrofuturism art pop dance pop escape room experimental rb pop trip hop,2018,192.973,72,0.798,0.412,2,50.695,1,0.36,0.443,7.43e-05,0.219,0.304,135.959
2RVrdr062uLFxXwIxwdXPH,Te Amo,"Piso 21, Paulo Londra","['4bw2Am3p9ji3mYsXNXtQcd', '3vQ0GE3mI0dAaxIMYe5g7z']",colombian pop latin latin pop reggaeton reggaeton colombiano trap latino argentine hip hop reggaeton trap argentino trap latino,2018,201.122,72,0.849,0.724,5,55.861,1,0.0665,0.0204,5.98e-06,0.235,0.63,98.005
6TodWdTSDfzwgYynTZSvJn,Midsummer Madness,"88rising, Joji, Rich Brian, Higher Brothers, AUGUST 08","['1AhjOkOLkbHUfcHDSErXQs', '3MZsBdqDrRTJihTHQrO6Dq', '2IDLDx25HU1nQMKde4n61a', '07ZhipyrvoyNoJejeyM0PQ', '2iB8eFB6flwQculkUrRssi']",la pop rb chinese hip hop asian american hip hop chill rb pop alternative rb viral pop indonesian hip hop,2018,280.842,72,0.409,0.678,9,52.269,1,0.0878,0.359,4.76e-06,0.167,0.168,89.968
7wC5eZcFS1Q1BsQ35DU6H4,come out and play,Billie Eilish,['6qqNVTkY8uBg9cP3Jd7DAH'],electropop pop,2018,210.376,72,0.64,0.321,0,45.396,1,0.0931,0.693,0.0307,0.114,0.177,145.045
77vx7sGjdqwdnQL968t8oY,Monolog,Pamungkas,['7d86ERlvO5UG44j7Va0Y0C'],indonesian pop,2018,207.216,72,0.476,0.578,4,50.748,1,0.0312,0.108,0.558,0.131,0.298,96.978
7pdF27mSDuPWhppnHAmWHa,whoa (mind in awe),XXXTENTACION,['15UsOTVnJzReFVN1VCnxy4'],emo rap miami hip hop,2018,157.77700000000002,72,0.735,0.525,6,57.061,0,0.0441,0.653,0.918,0.101,0.369,160.147
1sl1cpix9GnwNwaVt04BIu,ICY GRL,Saweetie,['6cK3NBO6uP7hh0oyuVELFl'],cali rap dance pop pop pop rap postteen pop rb trap queen,2018,109.302,72,0.927,0.563,7,54.173,1,0.175,0.0306,0.0,0.0736,0.842,103.312
4eVkn18rN4GguUWOsR6Use,Answer : Love Myself,BTS,['3Nrfpe0tUJi4K4DXYWgMUX'],kpop kpop boy group,2018,251.28,72,0.569,0.793,1,56.251,1,0.0405,0.189,0.0,0.111,0.45,108.048
0KByxc2bldSo9PtAQQnipz,Cabin Back Noise,High Altitude Samples,['3T9Rn6sxhCylmpTyWCuu1f'],white noise,2018,171.719,72,0.0559,0.338,10,28.566,0,0.104,0.957,1.0,0.112,0.0212,58.227
2hrUO4drrO63i7FYbCLBl2,Rockabye (feat. Sean Paul & Anne-Marie),"Clean Bandit, Sean Paul, Anne-Marie","['6MDME20pz9RveH9rEXvrOM', '3Isy6kedDrgPYoTS1dazA9', '1zNqDE7qDGCsyzJwohVaoX']",dance pop pop pop dance postteen pop tropical house uk pop dance pop dancehall pop pop rap dance pop edm pop pop dance postteen pop tropical house uk dance uk funky,2018,251.173,72,0.717,0.73,9,55.271,0,0.0568,0.383,0.0,0.398,0.792,102.002
7rC5Pl8rQSX4myONQHYPBK,Mob Ties,Drake,['3TVXtAsR1Inumwj472S9r4'],canadian hip hop canadian pop hip hop pop rap rap toronto rap,2018,205.147,72,0.754,0.575,4,51.607,0,0.0682,0.045,0.00131,0.276,0.491,86.009
3WVhkjB7Y4xFruqoCAajBb,Sue Me,Sabrina Carpenter,['74KM79TiuVKeVCqs8QtB0B'],alt z dance pop electropop pop postteen pop viral pop,2018,179.227,72,0.46,0.809,6,54.585,1,0.326,0.0422,5.04e-05,0.138,0.609,157.184
3jagJCUbdqhDSPuxP8cAqF,Work It,Missy Elliott,['2wIVse2owClT7go1WT98tk'],dance pop hip hop hip pop pop pop rap rb rap urban contemporary virginia hip hop,2002,263.22700000000003,72,0.884,0.677,1,54.397,1,0.283,0.0778,0.0,0.0732,0.584,101.868
5qII2n90lVdPDcgXEEVHNy,Sunday Morning,Maroon 5,['04gDigrS5kc9YWfZHwBETP'],pop pop rock,2002,244.88,72,0.608,0.768,0,54.773,1,0.0475,0.0913,0.0,0.0629,0.809,88.059
06gD2ZtK3Dzc1BYqWExQJJ,Broken Halos,Chris Stapleton,['4YLtscXsxbVgi031ovDDdh'],contemporary country outlaw country,2017,180.907,72,0.613,0.564,8,52.915,1,0.0251,0.134,1.65e-06,0.0585,0.538,78.388
55yvzYuvJYG2RUEnMK78tr,About A Girl,Nirvana,['6olE6TJLqED3rqDCT0FyPh'],alternative rock grunge permanent wave rock,2002,166.64,72,0.409,0.932,11,55.462,0,0.0339,1.87e-05,1.6e-06,0.31,0.591,131.761
0At2qAoaVjIwWNAqrscXli,Boo'd Up,Ella Mai,['7HkdQ0gt53LP4zmHsL0nap'],dance pop pop pop rb pop rap postteen pop rb rap uk contemporary rb urban contemporary,2017,256.064,72,0.561,0.779,10,54.893,0,0.0531,0.0862,0.0,0.078,0.235,81.965
3Ga6eKrUFf12ouh9Yw3v2D,Downtown,"Anitta, J Balvin","['7FNnA9vBm6EKceENgCGRMb', '1vyhD5VmyZ7KMfW5gqLgo5']",latin reggaeton reggaeton colombiano trap latino funk carioca funk pop pagode baiano pop nacional,2017,193.456,72,0.775,0.679,4,55.015,0,0.135,0.18,7.26e-05,0.068,0.619,166.008
1m8WpLYXEiNVZchsWEcCSy,Come Through and Chill (feat. J. Cole & Salaam Remi),"Miguel, J. Cole, Salaam Remi","['360IAlyVv4PCEVjgyMZrxK', '6l3HvQ5sa6mXTsMTB19rO5', '0rlS0SzVFk8BoiAW0fGBbN']",conscious hip hop hip hop north carolina hip hop rap dance pop hip hop pop rb urban contemporary alternative rb hip hop indie rb,2017,322.0,72,0.461,0.653,6,51.383,1,0.327,0.158,0.0,0.197,0.588,81.628
3wGXyJGsCf1myH5MooQIqE,The Race,Tay-K,['2ODbg2404zUzTi02qIPEjB'],cali rap dfw rap meme rap rap trap underground hip hop vapor trap,2017,140.0,72,0.766,0.606,9,53.936,1,0.456,0.00266,0.0,0.166,0.352,160.223
21dpBHPTV7ythCHBI6Slcw,If By Chance,Ruth B.,['2WzaAvm2bBCf4pEhyuDgCY'],alt z canadian contemporary rb canadian pop indie cafe pop pop postteen pop,2017,303.653,72,0.405,0.279,10,51.901,1,0.0334,0.881,0.0,0.0933,0.256,119.85
2UZtI2HUyLRzqBjodvcUmY,Rx (Medicate),Theory of a Deadman,['74eX4C98E4FCrAMl39qRsJ'],alternative metal canadian metal canadian rock nu metal postgrunge wrestling,2017,233.173,72,0.639,0.71,1,52.555,1,0.0275,0.0133,0.0,0.118,0.378,119.989
5I21rMWLtCjWQl6QyLn85W,Pure Brown Noise - Loopable with no fade,"Erik Eriksson, White Noise for Babies, White Noise Baby Sleep","['2c5WYCqQGs0UttiLCzVfOe', '4ZfEELHfyKd4odAb6YfDFw', '4W12lEvVl5wectUtRNrvDh']",background music sleep,2017,72.223,72,0.0,0.00125,1,32.408,1,0.0,0.908,1.0,0.111,0.0,0.0
3WxmlTZ85sCYFnuIXmUAEe,party favor,Billie Eilish,['6qqNVTkY8uBg9cP3Jd7DAH'],electropop pop,2017,204.77,72,0.826,0.188,0,47.819,1,0.0883,0.882,2.83e-06,0.103,0.205,130.022
0atfY1ew83Ql9nNnJiD2t5,Bonita,"J Balvin, Jowell & Randy","['1vyhD5VmyZ7KMfW5gqLgo5', '4IMAo2UQchVFyPH24PAjUs']",latin reggaeton reggaeton colombiano trap latino latin latin hip hop reggaeton reggaeton flow trap latino tropical,2017,265.747,72,0.775,0.867,5,58.418,0,0.0414,0.0132,0.00684,0.278,0.869,96.038
4b2tcjrG1qUkSdsqEFP2dB,Sun Is Shining,"Axwell /\\ Ingrosso, Axwell, Sebastian Ingrosso","['2XnBwblw31dfGnspMIwgWz', '1xNmvlEiICkRlRGqlNFZ43', '6hyMWrxGBsOx6sWcVj1DqP']",dance pop edm electro house pop pop dance tropical house disco house edm electro house house pop dance progressive electro house progressive house tech house vocal house dance pop edm electro house pop dance progressive electro house progressive house,2017,254.653,72,0.467,0.757,2,56.99,1,0.0517,0.0866,0.0,0.0742,0.383,131.993
1tlrTC3x7viJ1U30oOFGdF,Better Off (Dying),Lil Peep,['2kCcBybjl3SAtIcwdWpUe3'],emo rap lgbtq hip hop,2017,154.815,72,0.521,0.766,3,55.307,1,0.0409,0.00835,0.0,0.155,0.196,74.987
3F42FHouOY59SnSsyD2TAX,U Said,Lil Peep,['2kCcBybjl3SAtIcwdWpUe3'],emo rap lgbtq hip hop,2017,224.053,72,0.265,0.827,7,55.339,1,0.104,0.0434,0.0,0.117,0.131,82.032
19woxaSpjOefa2JnAOoqW5,Garden (Say It Like Dat),SZA,['7tYKF4w9nC0nq9CsPZTHyP'],pop pop rap rb,2017,208.4,72,0.73,0.457,9,52.74,1,0.283,0.0705,0.0,0.124,0.549,111.352
5u6vkDnOyaf8LsteDAj2ub,Ghostface Killers,"21 Savage, Offset, Metro Boomin, Travis Scott","['1URnnhqYAYcrqrcwql10ft', '4DdkRBBYG6Yk9Ka8tdJ9BW', '0iEtIxbK0KxaSlF7G42ZOp', '0Y5tJX1MQlPlqiwlOH1tJY']",hip hop pop rap rap southern hip hop trap atl hip hop rap trap atl hip hop hip hop pop rap rap southern hip hop trap rap slap house,2017,268.933,72,0.782,0.436,2,52.967,1,0.155,0.331,1.3e-05,0.342,0.243,82.994
4ipnJyDU3Lq15qBAYNqlqK,Mi Gente,"J Balvin, Willy William","['1vyhD5VmyZ7KMfW5gqLgo5', '4RSyJzf7ef6Iu2rnLdabNq']",latin reggaeton reggaeton colombiano trap latino francoton,2017,189.44,72,0.774,0.687,11,55.182,0,0.0584,0.0179,1.17e-05,0.128,0.308,104.959
3qIxnOusGoTpHvNVMLHscw,Tropical,SL,['0wY1K9SgxbaRfoFRmSR5x5'],uk hip hop,2017,180.062,72,0.847,0.434,10,47.534,0,0.275,0.76,8.89e-06,0.156,0.44,140.005
7zxRMhXxJMQCeDDg0rKAVo,Some Way,"NAV, The Weeknd","['7rkW85dBwwrJtlHRDkJDAC', '1Xyo4u8uXC1ZmMpatF05PJ']",canadian contemporary rb canadian pop pop canadian hip hop melodic rap pop rap rap toronto rap trap,2017,179.773,72,0.744,0.715,0,53.897,1,0.351,0.101,0.0,0.0919,0.34,154.962
2S2od3hT7ceytw7d1pTRuE,Again (feat. XXXTENTACION),"Noah Cyrus, XXXTENTACION","['55fhWPvDiMpLnE4ZzNXZyW', '15UsOTVnJzReFVN1VCnxy4']",emo rap miami hip hop alt z dance pop electropop pop postteen pop,2017,193.962,72,0.664,0.738,9,55.905,0,0.0338,0.188,5.75e-05,0.135,0.203,119.973
0FfZudphGgQTGeEV6AhmOs,Beige,Yoke Lore,['7FU0xCgmSYQEiBeevUqQ4S'],indie folk indie pop indie poptimism modern rock nyc pop stomp and holler vapor soul,2017,204.209,72,0.434,0.677,10,52.465,1,0.119,0.384,0.0684,0.119,0.218,167.927
0r2Bul2NuCViraT2zX1l5j,Get Low,"Ying Yang Twins, Lil Jon & The East Side Boyz","['44PA0rCQXikgOWbfY7Fq7m', '3ciRvbBIVz9fBoPbtSYq4x']",atl hip hop crunk dirty south rap gangster rap pop rap rap southern hip hop trap atl hip hop crunk dance pop dirty south rap gangster rap hip hop hip pop pop rap rap southern hip hop trap,2002,334.067,72,0.521,0.625,1,52.53,1,0.067,0.0301,0.0,0.121,0.136,101.019
0RFgvrhkf9FiDRLA0BhzpZ,Drift Away,Uncle Kracker,['2DnqqkzzDKm3vAoyHtn8So'],country country road pop rock,2002,255.56,72,0.583,0.66,11,54.922,1,0.0377,0.181,0.0,0.0979,0.861,151.956
75NhhYjHO43mvZgYtnXgti,Lonely Together (feat. Rita Ora),"Avicii, Rita Ora","['1vCWHaC5f2uS3yhpwWbIA6', '5CCwRZC6euC8Odo6y9X8jr']",dance pop edm pop pop dance australian pop dance pop edm electropop pop pop rap postteen pop tropical house uk pop,2017,181.812,72,0.655,0.666,5,54.691,1,0.0612,0.134,2.12e-05,0.0683,0.272,102.977
5HsSsEeP3hU9QSfHZrzbtA,3:00 AM,Finding Hope,['0QGDb8TBWIT06W4BoyAggg'],chill rb indie cafe pop pop,2017,201.951,72,0.55,0.147,0,41.325,0,0.0404,0.563,0.00102,0.286,0.0346,81.991
2YMhrXQYKkm4kXLcXKKd5z,Small Town Boy,Dustin Lynch,['1dID9zgn0OV0Y8ud7Mh2tS'],contemporary country country country road modern country rock,2017,205.733,72,0.554,0.743,9,53.984,1,0.0287,0.0251,0.0,0.359,0.673,72.997
2aJDlirz6v2a4HREki98cP,Glue,Bicep,['73A3bLnfnz5BoQjb4gNCga'],ambient house electronica,2017,269.15,72,0.853,0.798,4,52.005,0,0.068,0.0158,0.948,0.0967,0.42,129.983
48MsdL5Med93EyIwINl5qY,Whoopty (Latin Mix) [feat. Anuel AA and Ozuna],"CJ, Anuel AA, Ozuna","['7arQA31aZVS8yS6zUveWzb', '2R21vXR83lH98kGeO99Y66', '1i8SpTcr7yvPOmcqrbnVXY']",latin puerto rican pop reggaeton trap latino latin reggaeton reggaeton flow trap boricua trap latino trap,2021,213.06,72,0.439,0.72,1,53.407,1,0.233,0.289,0.0,0.108,0.606,97.531
3EK4tGkSiO5xvvB5sM4tln,Amárrame,"Mon Laferte, Juanes","['4boI7bJtmB1L3b1cuL75Zr', '0UWZUmn7sybxMCqrw9tGa7']",latin latin alternative latin pop colombian pop latin latin pop mexican pop pop rock en espanol tropical,2017,207.333,72,0.563,0.674,5,55.446,0,0.048,0.247,0.00226,0.107,0.784,179.977
2Q85xwXagilpHKTfdrbC7M,La Rompe Corazones,"Daddy Yankee, Ozuna","['4VMYDCV2IEDYJArk749S6m', '1i8SpTcr7yvPOmcqrbnVXY']",latin puerto rican pop reggaeton trap latino latin latin hip hop reggaeton trap latino tropical,2017,204.52,72,0.685,0.859,5,57.405,0,0.0553,0.116,0.0,0.317,0.891,176.018
5aHfGUxRec6c41luxkDqhX,ピースサイン,Kenshi Yonezu,['1snhtMLeb2DYoMOcVbb8iB'],anime jpop,2017,238.533,72,0.593,0.935,10,56.147,0,0.0684,0.00221,0.0,0.315,0.618,100.003
6M6Tk58pQvABy6ru66dY3d,No Money,Galantis,['4sTQVOfp9vEMCemLw50sbu'],dance pop edm electro house pop pop dance tropical house,2017,191.293,72,0.674,0.915,6,56.001,0,0.0411,0.0282,0.00337,0.273,0.78,126.038
4hrpoqJMVE7FxBu1YWx0eQ,Not Today,BTS,['3Nrfpe0tUJi4K4DXYWgMUX'],kpop kpop boy group,2017,231.86,72,0.594,0.946,8,56.592,1,0.126,0.00181,1.04e-06,0.923,0.665,110.024
57JxDNtEe4iDhKFiwQT6Uo,Cuenta,Myke Towers,['7iK8PXO48WeuP03g8YR51W'],trap latino,2021,156.734,72,0.687,0.522,10,51.478,0,0.327,0.495,0.0766,0.135,0.532,185.948
11zf7m4vw9Ze7cer9Nyhk1,Pleaser,Wallows,['0NIPkIjTV8mB795yEIiPYL'],indie pop modern rock pop rock,2017,187.896,72,0.497,0.914,9,55.692,1,0.0455,0.126,1.98e-05,0.274,0.385,148.893
0rlJxSIT5MduSa0r5RbKFL,Gece Gündüz (feat. MERO),"Murda, MERO","['2y1VzMKAa5nmfXKtJL9jnj', '5wyWp867LWGjFmYZXVSFnZ']",german hip hop basshall turkish trap,2021,182.4,72,0.817,0.577,10,54.997,0,0.188,0.0221,2.83e-06,0.121,0.282,149.977
